crop,year,state,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,n,p,k,ph,ndvi,evi,gdd,rainfall_var
13,1997,12,434451.05,1415.15,1.869444444,23.55,894.16,69.61,72,42,25,6.9,0.7668743484236011,0.2928229542690057,13.55,222.85538844155093
14,1997,12,481655.37,1568.91,1.585,23.55,894.16,69.61,72,42,25,6.9,0.5818397168164968,0.6997011787157391,13.55,222.85538844155093
15,1997,12,344420.23,1121.89,1.262307692,23.55,894.16,69.61,72,42,25,6.9,0.7601089714812952,0.4663826405588457,13.55,222.85538844155093
17,1997,12,80672373.22,262776.46,0.709411765,23.55,894.16,69.61,72,42,25,6.9,0.24198384255442146,0.6444693294604629,13.55,222.85538844155093
17,1997,12,18312230.72,59648.96,1.133333333,23.55,894.16,69.61,72,42,25,6.9,0.4808274558088361,0.24501287264010893,13.55,222.85538844155093
19,1997,12,17023248.24,55450.32,0.45,23.55,894.16,69.61,72,42,25,6.9,0.738056877957944,0.7047408816751273,13.55,222.85538844155093
19,1997,12,15529174.41,50583.63,0.514705882,23.55,894.16,69.61,72,42,25,6.9,0.6196881888426167,0.17624499237633462,13.55,222.85538844155093
20,1997,12,37086797.3,120803.9,1.228,23.55,894.16,69.61,72,42,25,6.9,0.3731606724095554,0.5958645683974192,13.55,222.85538844155093
20,1997,12,142866539.2,465363.32,0.510714286,23.55,894.16,69.61,72,42,25,6.9,0.5528058128908615,0.6147933254014843,13.55,222.85538844155093
20,1997,12,584058.29,1902.47,2.470909091,23.55,894.16,69.61,72,42,25,6.9,0.521399573426228,0.4321200923681451,13.55,222.85538844155093
24,1997,12,47851190.49,155867.07,2.687777778,23.55,894.16,69.61,72,42,25,6.9,0.5605441176828881,0.49927507868639365,13.55,222.85538844155093
24,1997,12,4648483.48,15141.64,1.98,23.55,894.16,69.61,72,42,25,6.9,0.45044788738886365,0.5182008617051482,13.55,222.85538844155093
24,1997,12,926004.1,3016.3,2.165714286,23.55,894.16,69.61,72,42,25,6.9,0.702558159061843,0.6811975224274915,13.55,222.85538844155093
38,1997,12,85455141.57,278355.51,1.191333333,23.55,894.16,69.61,72,42,25,6.9,0.5690089375025944,0.6764209450568599,13.55,222.85538844155093
38,1997,12,2579487.68,8402.24,1.312222222,23.55,894.16,69.61,72,42,25,6.9,0.24928151322683015,0.39569979743976447,13.55,222.85538844155093
38,1997,12,1286793.57,4191.51,1.847777778,23.55,894.16,69.61,72,42,25,6.9,0.8780304457207173,0.48603941636292713,13.55,222.85538844155093
40,1997,12,98170710.1,319774.3,2.2335,23.55,894.16,69.61,72,42,25,6.9,0.3551797748949841,0.2889927782379075,13.55,222.85538844155093
40,1997,12,5128616.13,16705.59,2.073846154,23.55,894.16,69.61,72,42,25,6.9,0.4790443834195593,0.4985034669941161,13.55,222.85538844155093
40,1997,12,25509747.48,83093.64,2.829444444,23.55,894.16,69.61,72,42,25,6.9,0.5718032269315279,0.695780634843142,13.55,222.85538844155093
46,1997,12,29393920.69,95745.67,91.74736842,23.55,894.16,69.61,72,42,25,6.9,0.2974265470349645,0.6491420734608789,13.55,222.85538844155093
51,1997,12,413228.14,1346.02,4.452941176,23.55,894.16,69.61,72,42,25,6.9,0.7648914540459684,0.6628646422900226,13.55,222.85538844155093
53,1997,12,23858928.66,77716.38,0.548333333,23.55,894.16,69.61,72,42,25,6.9,0.40218084066810056,0.5019718694145631,13.55,222.85538844155093
0,1997,13,7246719.65,23604.95,1.147857143,27.06,2005.29,78.82,65,28,50,5.7,0.37947828230760505,0.21071537783787397,17.06,320.6016049019732
5,1997,13,16545780.35,53895.05,0.240714286,27.06,2005.29,78.82,65,28,50,5.7,0.21437369156662497,0.12110505127330967,17.06,320.6016049019732
7,1997,13,9143267.41,29782.63,0.589285714,27.06,2005.29,78.82,65,28,50,5.7,0.3673383514065487,0.4608276580617727,17.06,320.6016049019732
9,1997,13,84163018.48,274146.64,5376.054286,27.06,2005.29,78.82,65,28,50,5.7,0.42962118628693474,0.2574324308480219,17.06,320.6016049019732
49,1997,13,12645713.75,41191.25,22.80357143,27.06,2005.29,78.82,65,28,50,5.7,0.38359629338993373,0.23989528544873714,17.06,320.6016049019732
0,1997,17,910681.73,2966.39,1.245714286,17.16,1954.46,77.31,52,16,33,5.6,0.20062139063062984,0.5955018753704385,7.16,827.9846247220643
1,1997,17,82322.05,268.15,0.806666667,17.16,1954.46,77.31,52,16,33,5.6,0.21139861610323316,0.13633956067610475,7.16,827.9846247220643
3,1997,17,498595.63,1624.09,11.20714286,17.16,1954.46,77.31,52,16,33,5.6,0.5206568809565195,0.10205868938049784,7.16,827.9846247220643
8,1997,17,2855.1,9.3,0.49,17.16,1954.46,77.31,52,16,33,5.6,0.3951813733533884,0.678574204055474,7.16,827.9846247220643
11,1997,17,717962.48,2338.64,0.796666667,17.16,1954.46,77.31,52,16,33,5.6,0.3303588177080609,0.7043870956684214,7.16,827.9846247220643
13,1997,17,168070.22,547.46,0.64,17.16,1954.46,77.31,52,16,33,5.6,0.8864159988729741,0.6513067613495483,7.16,827.9846247220643
15,1997,17,700165.69,2280.67,6.054285714,17.16,1954.46,77.31,52,16,33,5.6,0.5655208502019657,0.7844086700767191,7.16,827.9846247220643
16,1997,17,42160.31,137.33,0.613333333,17.16,1954.46,77.31,52,16,33,5.6,0.46294764024137247,0.5601980677782348,7.16,827.9846247220643
21,1997,17,403806.31,1315.33,8.436666667,17.16,1954.46,77.31,52,16,33,5.6,0.23886277588362137,0.476719546400992,7.16,827.9846247220643
23,1997,17,4758.5,15.5,0.44,17.16,1954.46,77.31,52,16,33,5.6,0.5589428232831597,0.40821304126801705,7.16,827.9846247220643
24,1997,17,1634544.75,5324.25,1.444285714,17.16,1954.46,77.31,52,16,33,5.6,0.5383194442826815,0.461661954269056,7.16,827.9846247220643
26,1997,17,446156.96,1453.28,4.68,17.16,1954.46,77.31,52,16,33,5.6,0.4223847824364638,0.15784744970725822,7.16,827.9846247220643
26,1997,17,81941.37,266.91,0.7525,17.16,1954.46,77.31,52,16,33,5.6,0.4556565345150399,0.3910232083729498,7.16,827.9846247220643
32,1997,17,181679.53,591.79,0.777142857,17.16,1954.46,77.31,52,16,33,5.6,0.4631269264113827,0.20330045037365801,7.16,827.9846247220643
37,1997,17,1976109.88,6436.84,8.641428571,17.16,1954.46,77.31,52,16,33,5.6,0.4669813688934078,0.21201729474468883,7.16,827.9846247220643
39,1997,17,658005.38,2143.34,0.608571429,17.16,1954.46,77.31,52,16,33,5.6,0.4360434182364121,0.44025833221460986,7.16,827.9846247220643
40,1997,17,10009028.9,32602.7,1.378571429,17.16,1954.46,77.31,52,16,33,5.6,0.8448334539526028,0.3010939395635702,7.16,827.9846247220643
43,1997,17,126195.42,411.06,0.575714286,17.16,1954.46,77.31,52,16,33,5.6,0.2393733184922927,0.26416374310635343,7.16,827.9846247220643
44,1997,17,266856.68,869.24,0.861428571,17.16,1954.46,77.31,52,16,33,5.6,0.7562230170722746,0.4150804421387303,7.16,827.9846247220643
